,club,country,league,venue,coordinates,website,logoImage
2801,Union Royale Namur,Belgium,Belgian Promotion,Stade communal de Namur,4.860833 50.464167,http://www.urnamur.be,
2802,IF Limhamn Bunkeflo,Sweden,Swedish Football Division 3,Limhamns IP,12.93555556 55.57611111,http://www.lb07.se/,
2803,Santos F.C.,South Africa,Premier Soccer League,Athlone Stadium,18.516667 -33.961944,http://www.santosfc.co.za,
2804,Perlis FA,Malaysia,Malaysia Super League,Utama Negeri Stadium,100.200558333 6.450438888,http://www.singautara.net/,
2805,Miramar Rangers,New Zealand,Central Premier League,David Farrington Park,174.824630555 -41.302905555,https://miramarrangers.co.nz/,
2806,IK Grand Bodø,Norway,Norwegian First Division,Aspmyra Stadion,14.384166666 67.2775,http://www.ikgrand.no/,
2807,FC Swift Hesperange,Luxembourg,Luxembourg National Division,Stade Alphonse Theis,6.158297 49.575353,http://www.swifthesper.lu/,
2808,Giresunspor,Turkey,Turkish Süper Lig,Giresun Atatürk Stadium,38.37194444 40.90972222,http://www.giresunspor.com.tr,
2809,Green Buffaloes F.C.,Zambia,Zambia Super League,Independence Stadium,-93.791944444 32.475555555,http://www.greenbuffaloesfc.com,
2810,Athens Kallithea F.C.,Greece,Super League Greece 2,Municipal Stadium of Kallithea Grigoris Lambrakis,23.7151 37.9601,https://akfc66.gr/,
2811,Limerick F.C.,Republic of Ireland,League of Ireland,Thomond Park,-8.6425 52.674167,http://www.limerickfc.ie,
2812,SC Schiltigheim,France,Championnat National 2,Q3496000,7.76162 48.60534,http://sc-schiltigheim.footeo.com,
2813,Norrby IF,Sweden,Swedish Football Division 2,Borås Arena,12.934334 57.73457,http://www.norrbyif.se/,
2814,SV Tasmania Berlin,Germany,Regionalliga Nordost,Q1571306,13.4167 52.4692,http://www.tasmania-berlin.de,http://commons.wikimedia.org/wiki/Special:FilePath/Tasmania%20Berlin%20Logo.svg
2815,K.V. Turnhout,Belgium,Belgian Second Amateur Division,Stadsparkstadion,4.942839 51.311408,http://www.kfct.be,
2816,Lobos de la BUAP,Mexico,Liga MX,Estadio Olímpico de C.U.,-98.1975 18.997222,http://www.estudiante.buap.mx/lobos/,
2817,Alacranes de Durango,Mexico,Segunda División de México,Estadio Francisco Zarco,-104.68690833 24.01433056,http://www.club-alacranes.com,
2818,L'Aquila Calcio 1927,Italy,Lega Pro Seconda Divisione,Stadio Tommaso Fattori,13.403889 42.356389,http://www.laquilacalcio.com/,
2819,Venados FC,Mexico,Ascenso MX,Estadio Carlos Iturralde,-89.593611 20.945833,https://media.tenor.com/x8v1oNUOmg4AAAAd/rickroll-roll.gif,
2820,Hallstahammars SK,Sweden,Swedish Football Division 4,Trollebo IP,16.2247 59.6206,http://www.laget.se/hallstahammarsk,
2821,FC Sibir-2 Novosibirsk,Russia,Russian Second League,Spartak Stadium,82.92505556 55.03866667,http://www.fc-sibir.ru/team/myteam.5717/,
2822,FC Spartak Tambov,Russia,Russian Second League,Otkrytie Bank Arena,37.4403 55.8178,http://www.spartak-tambov.ru/,
2823,Leones Negros de la Universidad de Guadalajara,Mexico,Ascenso MX,Jalisco Stadium,-103.328139 20.705,http://www.leonesnegrosudg.mx/,
2824,FC Helios Kharkiv,Ukraine,Ukrainian First League,Helios Arena,36.1812 49.946,http://www.gelios.ua/ua,http://commons.wikimedia.org/wiki/Special:FilePath/Crest%20of%20FC%20Helios%20Kharkiv.png
2825,FC Vityaz Podolsk,Russia,Russian Amateur Football League Competition,Trud Stadium,37.5328 55.4231,http://www.fcvityaz.ru/,
2826,FC Anyang,South Korea,K League 2,Anyang Sports Complex,126.946446 37.405397,http://www.fc-anyang.com,
2827,Selangor F.C.,Malaysia,Malaysia Super League,Shah Alam Stadium,101.544944 3.08225,http://www.selangorfc.com/,
2828,JSM Béjaïa,Algeria,Algerian Ligue Professionnelle 1,Stade de l'Unité Maghrébine,5.046539 36.749411,http://jsmbejaia.com,
2829,Unión Huaral,Peru,Copa Perú,Estadio Julio Lores Colán,-77.2171497 -11.4967628,http://www.union-huaral.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Uni%C3%B3n%20Huaral%20logo.svg
2830,Armed Forces FC,Malaysia,Malaysia Super League,Tuanku Abdul Rahman Stadium,101.982672 2.726359,http://atmfc.my/,
2831,Stalybridge Celtic F.C.,England,National League North,Bower Fold,-2.043864 53.475314,http://www.stalybridgeceltic.co.uk/,
2832,S.V. Transvaal,Suriname,Hoofdklasse,André Kamperveen Stadium,-55.160806 5.837389,http://www.transvaalsuriname.com/,http://commons.wikimedia.org/wiki/Special:FilePath/SV%20Transvaal%202018.png
2833,S.C.U. Torreense,Portugal,Portuguese Second Division,Campo Manuel Marques,-9.25659444 39.09487778,https://www.torreense.com/,
2834,Vefa S.K.,Turkey,Turkish Regional Amateur League,Vefa Stadium,28.939 41.0278,http://www.vefasporkulubu.com,http://commons.wikimedia.org/wiki/Special:FilePath/VefaSK%20logo.jpg
2835,U.S. Poggibonsi,Italy,Lega Pro Seconda Divisione,Stadio Stefano Lotti,11.146667 43.474167,http://www.uspoggibonsi.it,
2836,Waikato FC,New Zealand,New Zealand Football Championship,Waikato Stadium,175.268333 -37.781111,http://www.waikatofc.co.nz/,
2837,Uberlândia E.C.,Brazil,Campeonato Brasileiro Série A,Estádio Parque do Sabiá,-48.2325 -18.913889,http://www.uberlandiaesporteclube.com.br/,
2838,Deportes Melipilla,Chile,Potreros,Estadio Municipal Roberto Bravo Santibáñez,-71.216667 -33.696944,http://www.deportesmelipilla.co.cl/,
2839,Septemvri Sofia PFC,Bulgaria,First Professional Football League,Septemvri Stadium (Sofia),23.28777778 42.69222222,http://fcseptemvri.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Septemvri%20Sofia.png
2840,Chepo FC,Panama,Liga Panameña de Fútbol,Estadio Rommel Fernández,-79.469444 9.035833,http://www.chepofc.com/,
2841,S.S. Monopoli 1966,Italy,Serie D,Stadio Vito Simone Veneziani,17.2937 40.9571,http://www.monopolicalcio.it/,
2842,PFC Lokomotiv Mezdra,Bulgaria,First Professional Football League,Lokomotiv Stadium,23.7125 43.138889,https://lokomotivmezdra.com,
2843,Club Deportivo Plaza Amador,Panama,Liga Panameña de Fútbol,Estadio Rommel Fernández,-79.469444 9.035833,http://www.cdplazaamador.com/plazaamador.php,
2844,FC Arsenal-Kyivshchyna Bila Tserkva,Ukraine,Ukrainian First League,Trudovi Reservy Stadium,30.123583333 49.793416666,http://arsenalbc.com/,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%95%D0%BC%D0%B1%D0%BB%D0%B5%D0%BC%D0%B0%20%D0%A4%D0%9A%20%C2%AB%D0%90%D1%80%D1%81%D0%B5%D0%BD%D0%B0%D0%BB-%D0%9A%D0%B8%D1%97%D0%B2%D1%89%D0%B8%D0%BD%D0%B0%C2%BB.jpg
2845,USM Blida,Algeria,Algerian Ligue Professionnelle 2,Stade Mustapha Tchaker,2.846667 36.490278,http://www.usm-blida.com,
2846,Trujillanos FC,Venezuela,Venezuelan Primera División,Estadio José Alberto Pérez,-70.6023 9.333358,http://www.trujillanos-fc.com.ve,
2847,MFK Karviná,Czech Republic,Czech 2. Liga,Městský stadion,18.5613 49.8453,https://www.mfkkarvina.cz/,
2848,A.S.D. Casertana Calcio,Italy,Serie D,Stadio Alberto Pinto,14.346516666 41.074486111,http://www.casertanafc.it/,
2849,Liga Deportiva Universitaria de Portoviejo,Ecuador,Ecuadorian Serie A,Estadio Reales Tamarindos,-80.45395 -1.048486,http://www.laligadeportoviejo.com,
2850,S.C. Covilhã,Portugal,LigaPro,Complexo Desportivo da Covilhã,-7.497869 40.264889,http://www.sportingdacovilha.com/,
2851,Marconi Stallions FC,Australia,National Premier Leagues NSW,Marconi Stadium,150.880362 -33.863485,http://www.marconifc.com/,
2852,Stella Club d'Adjamé,Ivory Coast,Ligue 1 (Ivory Coast),Stade Robert Champroux,-3.99244444 5.30527778,http://stella.footeo.com/,
2853,Maritzburg United F.C.,South Africa,Premier Soccer League,Harry Gwala Stadium,30.385641 -29.617388,http://www.maritzburgunited.co.za,
2854,Alondras CF,Spain,Tercera División,Q115584737,-8.78209 42.26904,http://www.alondrascf.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20Alondras%20CF.jpg
2855,BÍ/Bolungarvík,Iceland,1. deild karla,Torfnesvöllur,-23.136141 66.072956,http://www.bibol.is/,
2856,Marília Atlético Clube,Brazil,Campeonato Brasileiro Série D,Estádio Bento de Abreu,-49.939406 -22.219478,http://www.mariliaac.com.br/,
2857,Academie Ny Antsika,Madagascar,Orange Pro League,Stade Vélodrome,5.394907 43.269241,http://www.academie-jmg.com/,
2858,F.C. Onze Bravos,Angola,Girabola,Estádio Mundunduleno,19.910477 -11.779928,http://www.fcbravosdomaquis.com/index.php,
2859,Elman FC,Somalia,Somalia League,Mogadishu Stadium,45.4 2.116667,http://www.elmanfc.com,
2860,Pol. Alghero,Italy,dash,Stadio Mariotti,8.324722 40.563889,https://www.algherocalcio.it/,
2861,Lewes F.C.,England,Isthmian League,The Dripping Pan,0.012275 50.869019,http://lewesfc.com/,
2862,Al-Ahli SC,Libya,Libyan Premier League,Stadium Salto International,13.135878 32.859869,http://www.alahli.ly/,
2863,Amiens AC,France,Championnat National 2,Stade Jean-Bouin,2.25293 48.8432,http://www.acamiens.com,http://commons.wikimedia.org/wiki/Special:FilePath/AC%20Amiens%20Football.png
2864,Sarıyer G.K.,Turkey,TFF Second League,Yusuf Ziya Öniş Stadium,29.05027778 41.1725,http://www.sariyersporkulubu.org.tr/,
2865,Castlebar Celtic F.C.,Republic of Ireland,Mayo Association Football League,Celtic Park,-9.2975 53.8525,http://www.castlebarceltic.com,
2866,FK Mladost Lučani,Serbia,Serbian SuperLiga,Mladost Stadium,20.132608 43.860014,http://www.fkmladostlucani.com/,
2867,Motala AIF,Sweden,Swedish Football Division 2,Motala Idrottspark,15.05388889 58.53972222,http://www.idrottonline.se/motala/motalaaiffk-fotboll,
2868,F.C. Zebra,East Timor,Liga para monyet,National Stadium,125.580611 -8.557944,https://www.facebook.com/profile.php?id=100010603954236,
2869,1. SK Prostějov,Czech Republic,Czech 2. Liga,Za Místním nádražím,17.1141667 49.4797222,http://www.1skprostejov.cz/,
2870,Q3062995,Luxembourg,Dames Ligue 1,Stade Jos Nosbaum,6.084722222 49.472222222,http://www.f91.lu/,
2871,FC Petrocub,Moldova,Moldovan National Division,Stadionul Municipal,28.586687 46.825284,https://petrocub.md/,
2872,FC Nouadhibou,Mauritania,Mauritanian Premier League,Stade Municipal de Nouadhibou,-17.0467 20.9132,http://www.fcndb.com/,
2873,FK Radnički Pirot,Serbia,Serbian League East,Stadion Dragan Nikolić,22.5961 43.1517,http://www.radnicki-pirot.host.sk/pirgosi.htm,
2874,Telephonat Bani Sweif,Egypt,Egyptian Professional League,Bani Sweif Stadium,31.0975 29.061667,http://www.telefonatbns.com/,
2875,ŽFK Spartak Subotica,Serbia,Prva ženska liga,Subotica City Stadium,19.676958 46.081781,http://www.zfk-spartak.rs/,
2876,Suva F.C.,Fiji,Fiji Premier League,National Stadium,178.44908611 -18.15007222,http://suvafc.webs.com/,
2877,FC Villefranche,France,Championnat National,Stade Armand Chouffet,4.70708 45.99988,https://www.fcvb.fr/,
2878,FC Chambly,France,Championnat National,Stade des Marais,2.23243 49.1776,http://www.fcchambly.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20FC%20Chambly%20Oise.svg
2879,FC Chambly,France,Championnat National,Stade des Marais,2.23243 49.1776,http://www.fcchambly.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20FC%20Chambly%20Oise.svg
2880,F.C. des Écureuils de Mérignac-Arlac,France,Division 2 Féminine,Stade Joseph-Antoine Cruchon,-0.64834 44.81664,http://www.fce-merignac-arlac.com,
2881,GPSO 92 Issy,France,Division 1 Féminine,Marcel Bec Sports Complex,2.21699 48.8087,https://www.gpso92issy.fr/,
2882,FF Yzeure Allier Auvergne,France,Division 1 Féminine,Stade de Bellevue,3.34927 46.5609,https://ffy03.fr,
2883,Fostiras F.C.,Greece,Gamma Ethniki,Tavros Stadium,23.6886 37.9687,http://fostirasfc.org/el/,
2884,RC Kouba,Algeria,Algerian Ligue Professionnelle 2,Mohamed Benhaddad Stadium,3.09002 36.7295,http://www.rckouba.org,
2885,Kwara United F.C.,Nigeria,Nigeria Professional Football League,Kwara State Stadium,4.545364 8.477585,http://www.kwaraunited.net/,
2886,União Agrícola Barbarense Futebol Clube,Brazil,Campeonato Paulista Série A2,Estádio Antônio R. Guimarães,-47.42447778 -22.755475,http://www.uniaobarbarensefc.com.br/,
2887,Rio Branco Sport Club,Brazil,Campeonato Paranaense,Nelson Medrado Dias Stadium,-48.51815833 -25.52767778,http://riobrancosportclub.net.br/,
2888,Sabah F.C.,Malaysia,Malaysia Premier League,Likas Stadium,116.095544444 5.983355555,http://www.sabah-fc.com/,
2889,Gibraltar United F.C.,United Kingdom,Gibraltar National League,Victoria Stadium,-5.350342 36.149356,http://www.gibraltarunitedfc.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Gib%20Utd.png
2890,Guaynabo Fluminense FC,United States of America,Puerto Rico Soccer League,Estadio José Pepito Bonano,-66.112368 18.374484,http://www.cgflu.com/,
2891,Athlético Marseille,France,Championnat National 2,Stade La Martine,5.36285 43.37286,http://www.marseille-consolat.com,
2892,Guarani Esporte Clube,Brazil,Campeonato Brasileiro Série D,Estádio Mauro Sampaio,-39.3178 -7.2242,http://www.guaranidejuazeiro.com.br/,
2893,HBL F.C.,Pakistan,Pakistan Premier League,Peoples Football Stadium,66.988333 24.858611,http://www.habibbankltd.com/html/football.htm,
2894,Verdes FC,Belize,Premier League of Belize,Norman Broaster Stadium,-89.069722222 17.160277777,http://www.verdesfc.com/,
2895,Liberia Ship Corporate Registry Football Club,Liberia,Liberian Premier League,Antoinette Tubman Stadium,-10.80411111 6.309,http://liscrfc.com/,
2896,Sur SC,Oman,Oman Professional League,Sur Sports Complex,59.4735 22.5277,http://surclub.com/,
2897,Minebea Mitsumi FC,Japan,Japan Football League,Hinata Athletic Stadium,131.448056 31.824444,http://www.hondalock-sc.info/,
2898,Clube Esportivo Nova Esperança,Brazil,Campeonato Brasileiro Série D,Q16493439,-54.6352445 -20.546276,http://www.cenems.com.br,
2899,Chelsea F.C. Reserves and Academy,England,Professional Development League,Stamford Bridge,-0.191111111 51.481666666,http://www.chelseafc.com,
2900,SD Ciudad de Santiago,Spain,Tercera División,Estadio Multiusos de San Lázaro,-8.516014 42.882767,http://www.ciudaddesantiago.com/,
2901,PFC Shumen 2010,Bulgaria,Bulgarian B Professional Football Group,Panayot Volov Stadium,26.944167 43.276667,http://pfk-shumen2010.com,
2902,R. Jet Wavre,Belgium,Belgian Third Division,Stade Justin Peeters,4.618611 50.720278,http://www.rjwavre.be/,
2903,Naft Tehran F.C.,Iran,Iran Pro League,Shahid Dastgerdi Stadium,51.311708 35.707671,http://naftclub.com,
2904,K.R.C. Zuid-West-Vlaanderen,Belgium,Belgian First Division B,Forestiersstadion,3.311111 50.845,http://www.krc-harelbeke.be/,
2905,ASIL Lysi,Cyprus,Cypriot Third Division,GSZ Stadium,33.599722 34.925556,http://asil-fc.com/,
2906,ENTHOI Lakatamia FC,Cyprus,Cypriot Third Division,EN THOI Stadium,33.308419 35.124505,http://thoilakatamias.com/,
2907,Clausenengen FK,Norway,Norwegian Fourth Division,Atlanten Stadion,7.735792 63.123931,http://www.cfk.no/,
2908,Ciudad de La Habana,Cuba,Campeonato Nacional de Fútbol de Cuba,Estadio Pedro Marrero,-82.41283889 23.10733056,http://habanafutbol.webnode.es/,
2909,Al Fateh SC,Saudi Arabia,Saudi Pro League,Prince Abdullah bin Jalawi Stadium,49.612778 25.305833,https://alfatehclub.com/,
2910,S.S.D. Pro Sesto Calcio,Italy,Serie D,Stadio Breda,9.219722 45.533889,http://www.acprosesto.it/,
2911,Tromsdalen UIL,Norway,Norwegian Second Division,Tromsdalen Stadion,19.018053 69.645964,https://www.tuilfotball.no,
2912,Gimnasia y Esgrima de Mendoza,Argentina,Primera Nacional,Víctor Legrotaglie Stadium,-68.863555555 -32.88425,http://www.gimnasiayesgrimamza.com.ar/,http://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20Club%20Atl%C3%A9tico%20Gimnasia%20y%20Esgrima%20Mendoza.png
2913,Al Tadamun SC,Kuwait,Kuwaiti Premier League,Farwaniya Stadium,47.962661111 29.288755555,http://www.tadamonclub.net/,
2914,Brunei DPMM FC,Brunei,S.League,Hassanal Bolkiah National Stadium,114.945444 4.929028,http://www.eteamz.com/dpmmfc/,
2915,Melaka United,Malaysia,Malaysia FAM League,Hang Jebat Stadium,102.233094444 2.289080555,http://melakaunited.my/,
2916,Steinkjer FK,Norway,Norwegian Third Division,Guldbergaunet Stadion,11.510496 64.021452,http://www.steinkjerfk.no/,
2917,Associação Desportiva Ferroviária,Brazil,Campeonato Brasileiro Série D,Estádio Engenheiro Alencar Araripe,-40.355833 -20.334444,http://www.desportivaoficial.com/,
2918,Santos Futebol Clube de Angola,Angola,Girabola,Estádio dos Coqueiros,13.226 -8.81427,http://santosfcangola.com/,
2919,Deportes Temuco,Chile,Chilean Second Division,Estadio Municipal Germán Becker,-72.619722 -38.742778,http://www.deportes-temuco.cl/oficial/,
2920,CF Talavera de la Reina,Spain,Segunda División B,Q5639290,-4.821888888 39.965597222,https://clubdefutboltalavera.com/,
2921,Kalamata F.C.,Greece,Super League Greece 2,Kalamata Municipal Stadium,22.124167 37.02725,https://www.fckalamata.gr/,
2922,CA Bordj Bou Arréridj,Algeria,Algerian Ligue Professionnelle 2,Stade 20 Août 1955,4.76667 36.0667,http://www.cabba.org/,http://commons.wikimedia.org/wiki/Special:FilePath/CABBA%20-logo.gif
2923,Washington Crossfire,United States of America,USL League Two,Redmond High School,-122.107 47.6953,http://www.CrossfireSoccer.org,
2924,K.S.K. Heist,Belgium,Belgian First Division B,Q16069237,4.733997222 51.066855555,http://www.kskheist.be,
2925,UD Fuerteventura,Spain,Segunda División B,Estadio Los Pozos,-13.8673 28.49152,http://udfuerteventura.es/,
2926,Hatta Club,United Arab Emirates,UAE Pro League,Hamdan Bin Rashid Stadium,56.11261111 24.80452778,http://www.hattaclub.ae,
2927,FK Dukla Prague,Czech Republic,Czech 2. Liga,Stadion Juliska,14.3875 50.111389,https://www.fkdukla.cz/,http://commons.wikimedia.org/wiki/Special:FilePath/FK%20Dukla%20Praha%20logo.png
2928,Club Atlético Douglas Haig,Argentina,Torneo Argentino A,Estadio Miguel Morales,-60.561475 -33.871928,https://douglashaig.com/,
2929,FK Donn,Norway,Norwegian Third Division,Kristiansand Stadion,8.021389 58.1475,http://www.donn.no/,
2930,Gimnasia y Tiro,Bolivia,Torneo Federal A,Estadio El Gigante del Norte,-65.403889 -24.783333,http://gytsalta.com/,http://commons.wikimedia.org/wiki/Special:FilePath/Gimnasio%20y%20tiro%20de%20salta.png
2931,Club 9 de Octubre,Ecuador,Serie A de Ecuador 2021,Estadio Modelo Alberto Spencer Herrera,-79.894369 -2.178861,https://www.9deoctubre.com/,http://commons.wikimedia.org/wiki/Special:FilePath/9%20de%20Octubre%20FC%20escudo.png
2932,Club 9 de Octubre,Ecuador,Serie A de Ecuador 2021,Estadio Modelo Alberto Spencer Herrera,-79.894369 -2.178861,https://www.9deoctubre.com/,http://commons.wikimedia.org/wiki/Special:FilePath/9%20de%20Octubre%20FC%20escudo.png
2933,Kjelsås Fotball,Norway,Norwegian Second Division,Grefsen Stadion,10.780485 59.959114,http://www.fotball.kjelsaas.no/,
2934,Loyola Meralco Sparks F.C.,Philippines,United Football League,McKinley Hill Stadium,121.054 14.5311,http://onemeralcosports.com,
2935,Manila All-Japan F.C.,Philippines,UFL Division 2,Marikina Sports Complex,121.09841667 14.63461111,http://jp-voltes.org/,
2936,SFC Opava,Czech Republic,Czech 2. Liga,Stadion v Městských sadech,17.890092 49.949725,https://www.sfc.cz/,http://commons.wikimedia.org/wiki/Special:FilePath/Sfc%20opava.png
2937,US Gorée,Senegal,Senegal Premier League,Stade Demba Diop,-17.4584434 14.7107147,http://www.unionsportivegoreenne.com/,
